id,title,year,runtime,parental_guide,gross_us_canada
0111161,The Shawshank Redemption,1994,142,12,28767189.0
0068646,The Godfather,1972,175,14,136381073.0
0468569,The Dark Knight,2008,152,16,534987076.0
0071562,The Godfather Part II,1974,202,12,47834595.0
0050083,De 12 gezworenen,1957,96,14,
0108052,Schindler's List,1993,195,12,96898818.0
0167260,The Lord of the Rings: The Return of the King,2003,201,12,379427292.0
0110912,Pulp Fiction,1994,154,16,107928762.0
0120737,The Lord of the Rings: The Fellowship of the Ring,2001,178,12,316115420.0
0060196,"The Good, the Bad and the Ugly",1966,161,12,25100000.0
0109830,Forrest Gump,1994,142,12,330455270.0
0137523,Fight Club,1999,139,16,37030102.0
0167261,The Lord of the Rings: The Two Towers,2002,179,12,342952511.0
1375666,Inception,2010,148,12,292587330.0
0080684,Star Wars: Episode V - The Empire Strikes Back,1980,124,12,292753960.0
0133093,The Matrix,1999,136,16,172076928.0
0099685,Goodfellas,1990,145,16,46909721.0
0073486,One Flew Over the Cuckoo's Nest,1975,133,12,108981275.0
9362722,Spider-Man: Across the Spider-Verse,2023,140,9,381210457.0
0114369,Seven,1995,127,16,100125643.0
0038650,It's a Wonderful Life,1946,130,6,1483643.0
0047478,Shichinin no samurai,1954,207,12,318649.0
0102926,The Silence of the Lambs,1991,118,16,130742922.0
0816692,Interstellar,2014,169,12,188020017.0
0120815,Saving Private Ryan,1998,169,16,217049603.0
0317248,Cidade de Deus,2002,130,16,7564459.0
0118799,Het leven is mooi,1997,116,AL,57563264.0
0120689,The Green Mile,1999,189,16,136801374.0
0076759,Star Wars: Episode IV: A New Hope,1977,121,AL,460998507.0
0103064,Terminator 2: Judgment Day,1991,137,16,205881154.0
0088763,Back to the Future,1985,116,AL,212836762.0
0245429,Spirited Away: De reis van Chihiro,2001,125,6,15205725.0
0253474,The Pianist,2002,150,12,32572577.0
0054215,Psycho,1960,109,18,32000000.0
6751668,Gisaengchung,2019,132,16,53369749.0
0172495,Gladiator,2000,155,16,187705427.0
0110357,The Lion King,1994,88,AL,422783777.0
0110413,Léon,1994,110,16,19501238.0
15398776,Oppenheimer,2023,180,12,311254950.0
0120586,American History X,1998,119,16,6719864.0
0407887,The Departed,2006,151,16,132399394.0
2582802,Whiplash,2014,106,12,13092000.0
0482571,The Prestige,2006,130,12,53089891.0
0114814,The Usual Suspects,1995,106,16,23341568.0
0095327,Grave of the Fireflies,1988,89,Unrated,516962.0
0034583,Casablanca,1942,102,AL,4219709.0
0056058,Seppuku,1962,133,16,
1675434,Intouchables,2011,112,12,10198820.0
0027977,Modern Times,1936,87,AL,163577.0
0095765,Cinema Paradiso,1988,155,9,12397210.0
0064116,C'era una volta il West,1968,165,14,5321508.0
0047396,Rear Window,1954,112,6,36764313.0
0078748,Alien,1979,117,12,81900459.0
0021749,City Lights,1931,87,14,19181.0
0078788,Apocalypse Now,1979,147,16,96042913.0
0209144,Memento,2000,113,16,25544867.0
1853728,Django Unchained,2012,165,16,162805434.0
0082971,Indiana Jones and the Raiders of the Lost Ark,1981,115,12,248159971.0
0910970,WALL-E,2008,98,AL,223808164.0
0405094,Das Leben der Anderen,2006,137,12,11286112.0
0043014,Sunset Boulevard,1950,110,18,299645.0
0050825,Het veld van eer,1957,88,12,
4154756,Avengers: Infinity War,2018,149,12,678815482.0
0081505,The Shining,1980,146,16,45634352.0
0032553,De dictator,1940,125,14,
0051201,Witness for the Prosecution,1957,116,14,
4633694,Spider-Man: Een nieuw universum,2018,117,6,190241310.0
0090605,Aliens,1986,137,16,85160248.0
1345836,The Dark Knight Rises,2012,164,12,448149584.0
0169547,American Beauty,1999,122,16,130096601.0
0361748,Inglourious Basterds,2009,153,16,120540719.0
0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,95,AL,9440272.0
0364569,Oldboy,2003,120,16,2347649.0
2380307,Coco,2017,105,6,210460015.0
0086879,Amadeus,1984,160,12,51973029.0
0114709,Toy Story,1995,81,AL,223225679.0
0082096,Das Boot,1981,149,12,11487676.0
0112573,Braveheart,1995,178,16,75609945.0
4154796,Avengers: Endgame,2019,181,12,858373000.0
7286456,Joker,2019,122,16,335477657.0
0119698,Princess Mononoke,1997,134,12,4845631.0
0119217,Good Will Hunting,1997,126,12,138433435.0
0087843,Once Upon a Time in America,1984,229,12,5321508.0
5311514,Your Name,2016,106,AL,5017246.0
1187043,3 Idiots,2009,170,12,6532874.0
0057565,High and Low,1963,143,12,46808.0
0045152,Singin' in the Rain,1952,103,AL,1884537.0
0180093,Requiem for a Dream,2000,102,16,3635482.0
8267604,Capernaum,2018,126,9,1661096.0
0435761,Toy Story 3,2010,103,6,415004880.0
0091251,Idi i smotri,1985,142,16,71909.0
0086190,Star Wars: Episode VI - Return of the Jedi,1983,131,AL,316566101.0
0338013,Eternal Sunshine of the Spotless Mind,2004,108,AL,34400301.0
0062622,2001: Een zwerftocht in de ruimte,1968,149,AL,60481243.0
2106476,The Hunt,2012,115,12,613308.0
0105236,Reservoir Dogs,1992,99,16,2832029.0
0044741,Ikiru,1952,143,12,60239.0
0056172,Lawrence of Arabia,1962,218,12,45306425.0
0033467,Citizen Kane,1941,119,14,1627530.0
0022100,M - Eine Stadt sucht einen Mörder,1931,117,18,35566.0
0053125,North by Northwest,1959,136,AL,66728.0
0053604,Het appartement,1960,125,18,18600000.0
0052357,Vertigo,1958,128,18,7705225.0
0036775,Bloedgeld,1944,107,18,
0211915,Le fabuleux destin d'Amélie Poulain,2001,122,AL,33225499.0
0086250,Scarface,1983,170,18,45408703.0
0093058,Full Metal Jacket,1987,116,16,46357676.0
0066921,A Clockwork Orange,1971,136,14,26617553.0
1255953,Incendies,2010,131,16,2071334.0
8503618,Hamilton,2020,160,12,
0113277,Heat,1995,170,12,67436818.0
1049413,Up,2009,96,6,293004164.0
0056592,To Kill a Mockingbird,1962,129,14,592237.0
0070735,The Sting,1973,129,12,156000000.0
1832382,A Separation,2011,123,6,7099055.0
0097576,Indiana Jones and the Last Crusade,1989,127,AL,197171806.0
0017136,Metropolis,1927,153,AL,1236166.0
0095016,Die Hard,1988,132,16,83844093.0
0119488,L.A. Confidential,1997,138,12,64616940.0
0040522,Ladri di biciclette,1948,89,6,371111.0
0208092,Snatch,2000,104,16,30328156.0
0986264,Taare Zameen Par,2007,165,6,1223869.0
0075314,Taxi Driver,1976,114,16,28262574.0
8579674,1917,2019,119,12,159227644.0
0363163,Der Untergang,2004,156,16,5509040.0
5074352,Dangal,2016,161,9,12391761.0
1745960,Top Gun: Maverick,2022,130,12,718732821.0
0059578,For a Few Dollars More,1965,132,12,15000000.0
0372784,Batman Begins,2005,140,12,206863479.0
0053291,Some Like It Hot,1959,121,18,
0012349,The Kid,1921,68,Passed,
0993846,The Wolf of Wall Street,2013,180,16,116900694.0
10272386,The Father,2020,97,9,2122771.0
6966692,Green Book,2018,130,12,85080171.0
0042192,All About Eve,1950,138,Passed,63463.0
0055031,Oordeel te Neurenberg,1961,179,14,
0120382,The Truman Show,1998,103,12,125618201.0
0469494,There Will Be Blood,2007,158,16,40222514.0
0089881,Ran,1985,162,16,4135750.0
0112641,Casino,1995,178,16,42512375.0
1130884,Shutter Island,2010,138,16,128012934.0
0457430,Pan's Labyrinth,2006,118,16,37646380.0
0167404,The Sixth Sense,1999,107,16,293506292.0
0105695,Unforgiven,1992,130,12,101167799.0
0107290,Jurassic Park,1993,127,12,407125995.0
0268978,A Beautiful Mind,2001,135,12,170742341.0
0040897,The Treasure of the Sierra Madre,1947,126,18,5014000.0
0055630,Yojimbo,1961,110,12,46808.0
0477348,No Country for Old Men,2007,122,16,74283625.0
0071853,Monty Python and the Holy Grail,1975,91,14,1827696.0
0266697,Kill Bill,2003,111,16,70099045.0
0057115,The Great Escape,1963,172,12,
0084787,The Thing,1982,109,16,19629760.0
0042876,Rashomon,1950,88,12,46808.0
0266543,Finding Nemo,2003,100,AL,380843261.0
0080678,The Elephant Man,1980,124,12,26010864.0
0071315,Chinatown,1974,130,16,29200000.0
10872600,Spider-Man: No Way Home,2021,148,12,814115070.0
0031381,Gejaagd door de wind,1939,238,AL,200882193.0
0434409,V for Vendetta,2005,132,16,70511035.0
0046912,Dial M for Murder,1954,105,PG,24845.0
0347149,Howl's Moving Castle,2004,119,MG6,6789268.0
0081398,Raging Bull,1980,129,16,23383987.0
0120735,"Lock, Stock and Two Smoking Barrels",1998,107,16,3753929.0
1305806,El secreto de sus ojos,2009,129,16,6391436.0
2096673,Binnenstebuiten,2015,95,AL,356921711.0
1392214,Prisoners,2013,153,16,61002302.0
5027774,"Three Billboards Outside Ebbing, Missouri",2017,115,16,54513740.0
0050212,The Bridge on the River Kwai,1957,161,14,27200000.0
0117951,Trainspotting,1996,93,16,16491080.0
0116282,Fargo,1996,98,16,24611975.0
1291584,Warrior,2011,140,16,13657115.0
1205489,Gran Torino,2008,116,12,148095302.0
0264464,Catch Me If You Can,2002,141,12,164615351.0
0096283,My Neighbor Totoro,1988,86,6,2250213.0
0405159,Million Dollar Baby,2004,132,12,100492203.0
4729430,Klaus,2019,96,6,
1201607,Harry Potter and the Deathly Hallows: Part 2,2011,130,12,381447587.0
0118849,Bacheha-Ye aseman,1997,89,PG,933933.0
0083658,Blade Runner,1982,117,12,32914489.0
2024544,12 Years a Slave,2013,134,16,56671993.0
0112471,Before Sunrise,1995,101,AL,5535405.0
0015864,The Gold Rush,1925,95,Passed,
2278388,The Grand Budapest Hotel,2014,99,6,59301324.0
0052618,Ben Hur,1959,212,14,74432704.0
2267998,Gone Girl,2014,149,16,167767189.0
0072684,Barry Lyndon,1975,185,12,
0047296,On the Waterfront,1954,108,AL,
2119532,Hacksaw Ridge,2016,139,16,67209615.0
0107207,In the Name of the Father,1993,133,16,25096862.0
0017925,The General,1926,78,AL,
0077416,The Deer Hunter,1978,183,16,48979328.0
0353969,Salinui chueok,2003,131,16,15357.0
0050986,Smultronstället,1957,91,12,
0046268,Het loon van de Angst,1953,131,18,
0041959,The Third Man,1949,104,6,1067364.0
